nome,lat,long
ATIBAINHA,-23.175330956217024,-46.39355827792082
BIRITIBA,-23.603487953215666,-46.08838453358947
ENGORDADOR,-23.402760441625865,-46.587172377825624
FAZENDA CONQUISTA,-20.815087358824343,-47.7772619665633
FAZENDA MOSA,-23.39483012348221,-47.995342537377795
MOTTAS,-22.887536242765698, -45.21897910847674
PAIVA CASTRO,-23.505281014977975,-46.67921582633763
PARQUE TORONTO,-23.505281014977975,-46.72509885220981
PEDRO BEICHT,-23.7154952523822,-46.959160603468156
RIBEIRÃO DO CAMPO,-23.637917229365016,-45.83440196538114
RIO PIAGUI,-22.721732376454487,-45.25720436104987
SANTA LUCRÉCIA,-22.77076160765407,-45.0993854873684
TABOÃO,-22.79233636904016,-45.10155891055001
VALO GRANDE,-24.6946530025451,-47.56847914891251
